Type Water Body,State Name,MIN Temprature,MAX Temprature,MIN Dissolved O2,MAX Dissolved O2,MIN pH,MAX pH,MIN Conductivity,MAX Conductivity,MIN BOD,MAX BOD,MIN N+,MAX N+,MIN Fecal Coliform,MAX Fecal Coliform,MIN Total Coliform,MAX Total Coliform
LAKE,ASSAM,19.0,34.0,4.0,7.1,7.0,7.5,118.0,143.0,2.0,2.9,0.6,1.1,300.0,730.0,720.0,2000.0
LAKE,ASSAM,20.0,33.0,0.3,1.4,7.1,7.6,511.0,532.0,14.0,19.0,1.2,2.6,1400.0,2300.0,2700.0,4300.0
LAKE,ASSAM,21.0,25.0,4.0,4.3,6.8,7.5,123.0,158.0,2.2,2.8,0.6,1.2,300.0,910.0,730.0,2100.0
LAKE,ASSAM,21.0,32.0,0.3,6.7,7.0,8.0,462.0,486.0,24.6,29.4,2.0,2.8,2600.0,3600.0,4200.0,5300.0
POND,ASSAM,18.0,24.0,4.2,4.8,7.2,7.5,101.0,130.0,2.1,2.6,0.6,1.2,300.0,910.0,1100.0,2000.0
POND,ASSAM,20.0,27.0,4.5,10.0,7.0,7.6,210.0,242.0,2.0,2.6,1.0,1.3,300.0,2300.0,730.0,4300.0
POND,ASSAM,21.0,25.0,4.0,7.0,7.2,7.8,200.0,297.0,2.0,2.8,0.6,1.1,300.0,730.0,610.0,1500.0
POND,ASSAM,18.0,33.0,5.8,7.4,6.8,8.0,68.0,111.0,2.0,2.6,0.6,1.1,300.0,360.0,360.0,1100.0
POND,ASSAM,19.0,34.0,5.6,7.6,6.9,7.7,56.0,96.0,2.0,2.5,0.7,1.1,300.0,360.0,300.0,910.0
POND,ASSAM,20.0,30.0,4.0,6.2,7.2,7.6,63.0,88.0,2.0,2.8,0.8,1.1,300.0,730.0,730.0,1500.0
POND,ASSAM,22.0,32.0,4.6,10.3,7.2,7.7,83.0,108.0,2.1,2.6,0.7,1.1,300.0,730.0,720.0,1500.0
POND,ASSAM,20.0,35.0,4.2,11.2,7.1,7.7,218.0,321.0,2.3,3.0,1.0,1.8,360.0,730.0,910.0,2000.0
POND,ASSAM,19.0,29.0,4.0,6.8,7.0,7.6,206.0,882.0,2.2,2.8,0.8,1.3,300.0,910.0,730.0,2100.0
POND,ASSAM,20.0,30.0,6.8,9.2,7.3,7.8,63.0,103.0,2.1,2.5,0.7,1.1,300.0,720.0,720.0,1500.0
POND,ASSAM,21.0,27.0,4.5,10.2,7.0,7.8,70.0,89.0,1.8,2.8,0.6,1.1,300.0,730.0,610.0,1500.0
POND,ASSAM,20.0,36.0,4.8,7.0,6.4,7.6,65.0,83.0,1.3,2.7,0.7,1.4,2.0,730.0,360.0,1500.0
POND,ASSAM,20.0,32.0,6.8,7.6,7.4,7.8,101.0,119.0,2.3,2.6,0.6,1.2,300.0,360.0,620.0,1500.0
POND,ASSAM,18.0,32.0,5.6,7.2,6.7,7.4,64.0,77.0,1.8,2.7,0.8,1.1,300.0,360.0,360.0,910.0
POND,ASSAM,22.0,31.0,7.0,8.0,7.2,8.0,89.0,210.0,2.2,2.8,0.8,1.1,300.0,720.0,730.0,1400.0
POND,ASSAM,20.0,35.0,4.5,11.0,7.0,8.0,382.0,404.0,2.1,2.9,0.8,1.2,360.0,910.0,910.0,2000.0
POND,ASSAM,22.0,36.0,4.0,5.1,7.2,8.0,68.0,95.0,1.9,2.6,0.7,1.1,300.0,910.0,910.0,2100.0
POND,ASSAM,18.0,35.0,5.0,7.6,6.0,7.9,64.0,88.0,1.8,2.6,0.7,1.1,300.0,360.0,360.0,910.0
POND,ASSAM,23.0,33.0,7.0,7.8,7.2,7.8,264.0,304.0,2.2,2.7,0.8,1.3,300.0,730.0,720.0,1500.0
POND,ASSAM,22.0,25.0,4.0,5.4,6.8,7.7,122.0,179.0,2.2,2.6,0.7,1.0,300.0,940.0,910.0,1600.0
POND,ASSAM,24.0,38.0,4.1,5.7,7.0,7.7,60.0,80.0,1.9,2.6,0.7,1.2,300.0,910.0,730.0,2000.0
POND,ASSAM,24.0,36.0,4.3,5.6,7.3,7.9,96.0,126.0,2.1,2.6,0.7,1.2,300.0,910.0,910.0,2000.0
POND,ASSAM,21.0,33.0,5.6,7.8,6.8,7.8,73.0,109.0,2.1,2.6,0.6,1.2,300.0,360.0,360.0,910.0
POND,ASSAM,21.0,32.0,4.0,7.0,7.0,7.6,75.0,105.0,2.0,2.7,0.7,1.1,300.0,730.0,720.0,1500.0
POND,ASSAM,20.0,36.0,4.0,7.5,6.6,7.6,66.0,90.0,1.8,2.8,0.7,1.1,300.0,730.0,360.0,1500.0
POND,ASSAM,19.0,30.0,4.0,8.5,7.3,7.8,218.0,247.0,2.0,2.7,0.6,1.1,300.0,730.0,720.0,2100.0
POND,ASSAM,19.0,36.0,5.5,7.8,6.8,7.7,71.0,89.0,2.0,2.8,0.7,1.1,300.0,360.0,360.0,910.0
TANK,ASSAM,20.0,36.0,5.5,6.5,6.3,7.6,62.0,88.0,1.4,2.6,0.7,1.1,2.0,300.0,360.0,730.0
LAKE,BIHAR,12.0,31.0,1.7,9.2,6.8,7.5,136.0,360.0,2.4,4.2,0.15,6.2,780.0,92000.0,2300.0,160000.0
LAKE,BIHAR,20.0,29.0,2.6,22.0,7.2,8.3,390.0,1080.0,1.0,16.0,0.06,2.57,680.0,160000.0,1100.0,160000.0
LAKE,BIHAR,12.0,32.0,2.2,18.5,7.6,9.0,444.0,948.0,3.7,10.0,0.3,0.5,1700.0,160000.0,3300.0,160000.0
POND,BIHAR,18.0,31.0,3.3,16.0,7.1,8.2,427.0,817.0,2.3,6.9,0.13,1.65,2200.0,160000.0,2600.0,160000.0
POND,BIHAR,18.0,31.0,5.4,19.6,7.4,8.8,557.0,1140.0,2.1,8.0,0.3,1.17,920.0,160000.0,1700.0,160000.0
LAKE,CHANDIGARH,17.0,33.0,7.5,10.3,6.9,8.7,208.0,295.0,2.4,3.6,0.5,15.0,5.0,27000.0,33.0,10900000.0
LAKE,DELHI,32.0,32.0,0.3,1.7,7.6,8.1,6560.0,6560.0,40.0,55.0,1.14,2.1,49000.0,3300000.0,14000000.0,14000000.0
LAKE,DELHI,34.0,34.0,0.3,11.0,8.7,9.1,940.0,940.0,64.0,163.0,2.38,2.6,49.0,980000.0,79.0,79.0
LAKE,DELHI,33.0,33.0,0.3,9.0,8.1,8.3,1194.0,1194.0,26.0,57.0,1.01,2.04,49.0,40000.0,130.0,130.0
LAKE,GOA,27.0,32.0,4.8,7.9,5.7,7.4,40.0,140.0,1.0,1.6,0.32,0.54,2.0,240.0,2.0,540.0
LAKE,GOA,27.0,30.0,4.3,8.8,6.3,8.3,99.0,603.0,1.0,2.8,0.32,0.39,78.0,1300.0,110.0,3300.0
LAKE,GOA,27.0,31.0,1.6,6.7,6.0,7.7,78.0,195.0,1.0,2.9,0.32,1.22,130.0,2300.0,170.0,4900.0
LAKE,GOA,27.0,33.0,5.9,8.4,6.2,7.4,55.0,167.0,1.0,1.9,0.32,0.44,49.0,3300.0,140.0,5400.0
LAKE,GOA,28.0,32.0,5.9,8.2,6.2,7.3,39.0,96.0,1.0,1.8,0.32,0.32,170.0,2200.0,330.0,2700.0
LAKE,GOA,27.0,31.0,2.8,7.7,6.4,7.7,90.0,177.0,1.2,3.4,0.32,1.12,45.0,2700.0,68.0,3900.0
LAKE,GOA,27.0,32.0,1.2,6.0,6.1,7.8,95.0,141.0,1.0,3.8,0.32,0.52,130.0,2300.0,230.0,4900.0
LAKE,GOA,28.0,30.0,1.2,4.9,6.5,7.8,196.0,463.0,2.5,8.0,0.32,1.18,230.0,4900.0,940.0,7900.0
LAKE,GOA,27.5,33.0,6.1,8.1,6.7,8.5,38.0,139.0,1.0,1.8,0.32,0.9,2.0,49.0,4.0,79.0
LAKE,GUJARAT,27.0,30.0,5.1,8.5,7.6,8.5,365.0,502.0,1.0,1.0,0.32,0.39,2.0,11.0,17.0,70.0
LAKE,GUJARAT,26.0,31.0,6.5,8.5,7.6,8.3,306.0,508.0,1.0,1.0,0.3,0.5,2.0,27.0,20.0,70.0
LAKE,GUJARAT,27.0,29.0,3.5,7.2,7.3,8.0,205.0,2415.0,1.0,10.5,0.3,1.3,12.0,120.0,46.0,350.0
LAKE,GUJARAT,25.0,30.0,4.1,6.9,7.3,8.4,449.0,669.0,2.4,19.0,0.3,1.68,26.0,920.0,130.0,1600.0
LAKE,GUJARAT,27.0,35.0,4.7,6.7,7.7,8.5,892.0,1621.0,1.5,3.2,0.24,0.72,70.0,350.0,280.0,540.0
LAKE,GUJARAT,26.0,33.0,3.4,6.8,7.4,8.5,335.0,646.0,1.3,3.2,0.32,1.6,23.0,140.0,130.0,350.0
LAKE,GUJARAT,23.0,30.0,5.2,6.4,7.2,8.4,363.0,690.0,2.2,2.8,0.33,0.46,5.0,7.0,22.0,28.0
LAKE,GUJARAT,25.0,30.0,4.8,8.4,8.5,9.1,2571.0,3999.0,7.0,22.0,0.32,1.63,33.0,920.0,280.0,1600.0
LAKE,GUJARAT,26.0,30.0,5.9,6.9,7.3,8.4,452.0,3120.0,1.6,2.5,0.32,0.75,2.0,170.0,10.0,540.0
LAKE,GUJARAT,18.0,29.0,3.0,4.4,6.8,8.4,358.0,835.0,1.0,2.1,0.32,0.6,3.0,6.0,6.0,27.0
LAKE,GUJARAT,24.0,29.0,6.4,6.8,7.3,8.6,299.0,1012.0,2.0,2.4,0.16,0.43,2.0,21.0,2.0,49.0
LAKE,GUJARAT,24.0,32.0,4.2,9.2,8.3,9.1,2669.0,3850.0,3.0,27.0,0.3,0.72,12.0,540.0,63.0,920.0
LAKE,GUJARAT,26.0,30.0,0.3,7.5,8.3,9.0,1838.0,6138.0,10.0,59.0,0.16,1.1,94.0,920.0,280.0,1600.0
LAKE,GUJARAT,20.0,30.0,6.2,7.6,7.5,8.3,383.0,773.0,1.0,1.1,0.01,0.42,2.0,6.0,2.0,33.0
LAKE,GUJARAT,26.0,30.0,5.0,8.4,7.8,8.8,1290.0,11480.0,1.8,24.0,0.32,0.76,33.0,540.0,120.0,920.0
LAKE,GUJARAT,23.0,29.0,3.5,6.5,7.2,8.3,314.0,1020.0,2.2,2.9,0.33,0.35,2.0,49.0,17.0,130.0
LAKE,GUJARAT,26.0,32.0,4.9,7.3,7.6,8.5,800.0,1136.0,1.6,4.1,0.32,0.45,46.0,350.0,170.0,540.0
LAKE,GUJARAT,26.0,28.0,3.5,5.5,7.3,8.5,430.0,779.0,1.8,4.1,0.3,0.91,130.0,350.0,240.0,540.0
